dataset,model,rule,reference,metric,delta,ci_low,ci_high,effectiveness_verdict,claim_of_improvement
esci,minilm,lexical_ascending,raw_hybrid_seven_mean,nDCG@20,-0.0011879455139963,-0.0039337919391598,0.0010446669155101,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,raw_hybrid_seven_mean,cNDCG@10,-0.0004765641456962,-0.0033597563818527,0.0019767880820087,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,raw_hybrid_seven_mean,cNDCG@20,-0.000763497071068,-0.0034064953366119,0.0013538094464368,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,raw_hybrid_seven_mean,Recall@20,-0.0001237106551795,-0.0026101142057897,0.0022079957378417,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_ascending,raw_hybrid_seven_mean,Recall@100,-0.0006031696537708,-0.0020435817909783,0.0006742414579964,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,lexical_descending,nDCG@10,0.0414171382829958,0.0247938526462572,0.0575461761433961,improves,supported
esci,minilm,lexical_descending,lexical_descending,nDCG@20,0.0396724135538973,0.0253613014570785,0.053324431844007,improves,supported
esci,minilm,lexical_descending,lexical_descending,cNDCG@10,0.0097002199541689,-0.0006262376691179,0.0199570176538841,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,lexical_descending,cNDCG@20,0.0050400795043508,-0.0026902036275169,0.0125911539633242,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,lexical_descending,Recall@20,0.0403431538400987,0.0222431696097301,0.0587411509322055,improves,supported
esci,minilm,lexical_descending,lexical_descending,Recall@100,0.0327436254782736,0.0204990921435473,0.046108065481472,improves,supported
esci,minilm,lexical_descending,BM25,nDCG@10,0.0159642367457876,0.0030572285610096,0.0285878468378101,improves,supported
esci,minilm,lexical_descending,BM25,nDCG@20,0.0253945256066567,0.013853129255526,0.0369186135094604,improves,supported
esci,minilm,lexical_descending,BM25,cNDCG@10,0.013313019223162,0.0020888679822143,0.0247450092512188,improves,supported
esci,minilm,lexical_descending,BM25,cNDCG@20,0.0072916410575428,-0.0008057724594562,0.0153985853818175,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,BM25,Recall@20,0.0387001186956421,0.0217979868732697,0.0556710807514104,improves,supported
