dataset,model,K,method,catalog_size,source_ids,view_budget,invariance_basis,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_recall,source_order_recall_ci_low,source_order_recall_ci_high,seven_schedule_mean_recall,seven_schedule_mean_recall_ci_low,seven_schedule_mean_recall_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high,recall_C0,recall_C0_ci_low,recall_C0_ci_high,recall_C1,recall_C1_ci_low,recall_C1_ci_high,recall_C2s1,recall_C2s1_ci_low,recall_C2s1_ci_high,recall_C2s2,recall_C2s2_ci_low,recall_C2s2_ci_high,recall_C2s3,recall_C2s3_ci_low,recall_C2s3_ci_high,recall_C2s4,recall_C2s4_ci_low,recall_C2s4_ci_high,recall_C2s5,recall_C2s5_ci_low,recall_C2s5_ci_high,delta_seven_schedule_mean_recall_vs_raw_seven,delta_seven_schedule_mean_recall_vs_raw_seven_ci_low,delta_seven_schedule_mean_recall_vs_raw_seven_ci_high,delta_persistent_inclusion_vs_raw_seven,delta_persistent_inclusion_vs_raw_seven_ci_low,delta_persistent_inclusion_vs_raw_seven_ci_high,delta_VI_vs_raw_seven,delta_VI_vs_raw_seven_ci_low,delta_VI_vs_raw_seven_ci_high,delta_persistent_omission_vs_raw_seven,delta_persistent_omission_vs_raw_seven_ci_low,delta_persistent_omission_vs_raw_seven_ci_high,delta_source_recall_vs_raw_C0,delta_source_recall_vs_raw_C0_ci_low,delta_source_recall_vs_raw_C0_ci_high,delta_mean_recall_vs_raw_C0,delta_mean_recall_vs_raw_C0_ci_low,delta_mean_recall_vs_raw_C0_ci_high
wands,minilm,20,centroid_2,42994,phase4/results/wands/minilm_centroid_2_pairs.parquet,2,"structural; input-order independent construction, one materialized index",query_macro,308,21299,2026091701,10000,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.0,0.0,0.0,0.7043240424276196,0.6660366582597438,0.7397633910593437,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.2956759575723805,0.2602366089406562,0.3339633417402561,0.000976022479017545,-0.008213179078934247,0.01042019329410266,0.08617336678246626,0.0707765156226449,0.10389302014813497,-0.19579381789518388,-0.21999178648479367,-0.17316557439173746,0.10962045111271765,0.09369980485531669,0.1270528729524918,-0.012409099190273143,-0.028417498173042573,0.003086803974015166,-0.012409099190273143,-0.028417498173042573,0.003086803974015166
wands,minilm,20,centroid_2,42994,phase4/results/wands/minilm_centroid_2_pairs.parquet,2,"structural; input-order independent construction, one materialized index",pair_micro,308,21299,2026091701,10000,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.0,0.0,0.0,0.8922484623691254,0.8713183323359732,0.9091915707741473,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.1077515376308747,0.0908084292258527,0.12868166766402672,0.001643269637072164,0.000506493434732142,0.0029104291189668736,0.053852293534907746,0.04620458703418726,0.06304429250638646,-0.12972440020658246,-0.14880657102335923,-0.11381908568275341,0.07587210667167472,0.0672217824993889,0.08626311262906508,0.0010329123433025027,-0.0007299782287551642,0.002833630390269365,0.0010329123433025027,-0.0007299782287551642,0.002833630390269365
wands,minilm,20,max_2,42994,phase4/results/wands/minilm_max_2_pairs.parquet,2,"structural; input-order independent construction, one materialized index",query_macro,308,21299,2026091701,10000,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.0,0.0,0.0,0.7023051434147217,0.6644043188348524,0.7378963859144936,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.29769485658527833,0.2621036140855064,0.3355956811651474,0.0029949214919154214,-0.006415323139732933,0.012578961844307943,0.08819226579536413,0.07265661960786375,0.10585037824824978,-0.19579381789518388,-0.21999178648479367,-0.17316557439173746,0.10760155209981977,0.09144352089345735,0.12517622359446684,-0.010390200177375264,-0.026870742690778052,0.005470570036934737,-0.010390200177375264,-0.026870742690778052,0.005470570036934737
wands,minilm,20,max_2,42994,phase4/results/wands/minilm_max_2_pairs.parquet,2,"structural; input-order independent construction, one materialized index",pair_micro,308,21299,2026091701,10000,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.0,0.0,0.0,0.8916381050753557,0.8705502256046106,0.9087546076899192,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.10836189492464435,0.09124539231008078,0.1294497743953895,0.002253626930841824,0.0009236785143236554,0.003714821740191317,0.054462650828677406,0.04681299695437934,0.06366952267206967,-0.12972440020658246,-0.14880657102335923,-0.11381908568275341,0.07526174937790507,0.06664341956334495,0.08565824689002215,0.001643269637072163,-0.0004958405326924547,0.0038185018824151186,0.001643269637072163,-0.0004958405326924547,0.0038185018824151186
wands,minilm,20,BM25,42994,phase4/results/wands/BM25_pairs.parquet,1,"structural; input-order independent construction, one materialized index",query_macro,308,21299,2026091701,10000,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.0,0.0,0.0,0.6528014511747643,0.6115824808192133,0.6919389075677556,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.3471985488252357,0.30806109243224444,0.38841751918078665,0.05249861373187275,0.026903827165013706,0.07900633796942601,0.13769595803532145,0.1076864079690048,0.16811383599564644,-0.19579381789518388,-0.21999178648479367,-0.17316557439173746,0.058097859859862454,0.03038739020030774,0.08553355942363303,0.039113492062582064,0.013679016691754255,0.06440123415528429,0.039113492062582064,0.013679016691754255,0.06440123415528429
wands,minilm,20,BM25,42994,phase4/results/wands/BM25_pairs.parquet,1,"structural; input-order independent construction, one materialized index",pair_micro,308,21299,2026091701,10000,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.0,0.0,0.0,0.8851119770881262,0.8622993454143857,0.9036881032809632,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.11488802291187379,0.09631189671903684,0.13770065458561423,0.00877975491807127,0.0028833465785062847,0.015424632557694176,0.06098877881590685,0.05105718709926732,0.07297366205783402,-0.12972440020658246,-0.14880657102335923,-0.11381908568275341,0.06873562139067561,0.05923737232599024,0.07968498922254813,0.00816939762430161,0.0022044401167092462,0.014785520997222223,0.00816939762430161,0.0022044401167092462,0.014785520997222223
wands,minilm,20,hybrid_seven,42994,revision_completion_20260921/data/wands_minilm_hybrid_seven_pairs.parquet,7,empirical seven schedules; same dense scoring basis as fusion,query_macro,308,21299,2026091701,10000,0.3585871150164857,0.3196981550833719,0.39883608198952963,0.36017816501161926,0.3223293189335586,0.3993332343841261,0.2948702378325462,0.2569970771734962,0.3345553162822515,0.13701473263546982,0.11907328644755615,0.15616844626798757,0.568115029531984,0.5279191962937237,0.6063957526097246,0.3585871150164857,0.3196981550833719,0.39883608198952963,0.3524366039074694,0.31472718372108294,0.3918964210409978,0.359776610034241,0.3222185979864664,0.39921240510480716,0.36515430702534885,0.32707509318064554,0.40551756757675095,0.36331569108406264,0.32487936208417184,0.40293721462390897,0.3591977313461742,0.32124974629715636,0.398971335129154,0.36277909666755304,0.3242984742866543,0.40238877665523676,0.06547822991825632,0.04806391936702865,0.08422430523716307,0.08536764704263194,0.06455622269866332,0.1079062250387436,-0.058779085259714085,-0.08036165384845535,-0.03852338737753541,-0.026588561782917873,-0.045582116002082104,-0.009062267491028822,0.05050205825383207,0.034184685831365504,0.06890929072126893,0.05209310824896563,0.03447808184042992,0.07122129313385003
wands,minilm,20,hybrid_seven,42994,revision_completion_20260921/data/wands_minilm_hybrid_seven_pairs.parquet,7,empirical seven schedules; same dense scoring basis as fusion,pair_micro,308,21299,2026091701,10000,0.12164890370439926,0.10253915313367656,0.14536232683036046,0.12197085040880522,0.10279911788083095,0.1456935178122201,0.07906474482370064,0.06487724891639604,0.09679776013431299,0.0977041175642049,0.08469948408810832,0.1133936767162777,0.8232311376120944,0.7921545995311929,0.8486818636010379,0.12164890370439926,0.10253915313367656,0.14536232683036046,0.12085074416639278,0.10169698749429691,0.14449970443254237,0.12183670594863609,0.10262908214183478,0.14557768805698423,0.12263486548664257,0.10329135489866553,0.14642084802257793,0.12216535987605052,0.1028710542879569,0.1459158857361204,0.12230621155922813,0.10311693429959085,0.14601060740551305,0.12235316212028734,0.103030742938883,0.14620586835692068,0.015862582415002713,0.011631212798794744,0.02115370415468181,0.025165500727733697,0.020195368182137085,0.03125412833221282,-0.03202028264237758,-0.039593587738855344,-0.02518614908334267,0.00685478191464388,-0.00022976273851723557,0.013263941753408458,0.014930278416827081,0.010753589713883824,0.02017631756558488,0.015252225121233054,0.010996644677284076,0.020449791788826603
wands,minilm,20,reconstructed_raw_seven,42994,revision_completion_20260921/data/wands_minilm_reconstructed_raw_seven_pairs.parquet,7,empirical seven schedules; same dense scoring basis as fusion,query_macro,308,21299,2026091701,10000,0.30808505676265363,0.2710145128159665,0.34671406905840585,0.29469993509336295,0.2600133336273995,0.3313139339493019,0.2095025907899142,0.17579203894287856,0.24501461822953371,0.19579381789518388,0.17316557439173746,0.21999178648479367,0.5947035913149019,0.5563694549059536,0.631945900544285,0.30808505676265363,0.2710145128159665,0.34671406905840585,0.2820821467824249,0.24724730515135898,0.3197878387810696,0.2985946393377921,0.2624477481149538,0.3367742876819698,0.29669658720005665,0.2603578455667816,0.3351224099093474,0.2834571741115071,0.2485721289856473,0.3201129760964754,0.297790496412856,0.26139205658237874,0.3356745448485196,0.2961934450462502,0.2600142683607103,0.33368290934426265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013385121669290689,-0.025312792124254208,-0.002232837722846302
wands,minilm,20,reconstructed_raw_seven,42994,revision_completion_20260921/data/wands_minilm_reconstructed_raw_seven_pairs.parquet,7,empirical seven schedules; same dense scoring basis as fusion,pair_micro,308,21299,2026091701,10000,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.10610826799380257,0.08962070691193656,0.1267133792189302,0.05389924409596695,0.043435658219776414,0.0669641360670222,0.12972440020658246,0.11381908568275341,0.14880657102335923,0.8163763556974506,0.7864503928139356,0.8409659899849796,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.10465280060096718,0.08822617268459557,0.12491320753985094,0.1058265646274473,0.08905688573837621,0.1265172142805684,0.10653082304333537,0.08989922996445149,0.12742527807297993,0.10601436687168411,0.08946000847369835,0.1264290572824556,0.10643692192121695,0.09000253791101978,0.12682683149888113,0.10657777360439458,0.08986220972343886,0.12713766857109873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006103572937696618,-0.0020322894351679165,0.0006983421958460784
wands,minilm,100,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,query_macro,308,21299,2026091701,10000,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5661289419905646,0.5286381486139621,0.6038344332958028,0.4515108535953754,0.4111956688754213,0.4942152820522096,0.21893847451519538,0.19698776180692912,0.24158230020255253,0.32955067188942916,0.2949566720076421,0.3651994945863714,0.5788332820924585,0.540442339286388,0.6168707106396457,0.554589604119262,0.5154151555954687,0.5947367494149505,0.5671963940107287,0.5280735371999068,0.6059072218321542,0.5666156926607956,0.5279020674314153,0.6055829563493164,0.5651242362181718,0.5269304338762806,0.6040599622067645,0.5709684794601491,0.5325032169333193,0.6093609962212473,0.5595749053723859,0.5212551371702897,0.5987476079020978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012704340101894085,-0.020610667505796283,-0.0051896117464488075
wands,minilm,100,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,pair_micro,308,21299,2026091701,10000,0.3508615427954364,0.3036609701883993,0.40645022360044597,0.34467748318163827,0.297987914751679,0.39914724431515247,0.2307620076059909,0.19173985725829842,0.27786701483030013,0.24381426358044977,0.22383532304842324,0.2663715312816719,0.5254237288135594,0.46594437209675554,0.5771802081368834,0.3508615427954364,0.3036609701883993,0.40645022360044597,0.33823184187051036,0.2923311078095098,0.3929178464660218,0.3422226395605428,0.2961166231170271,0.3968784873316572,0.34518052490727263,0.29862479519662893,0.3994972067403144,0.3466829428611672,0.29946871916579937,0.40192507880713235,0.3449927226630358,0.2989860907017467,0.3996697947518829,0.344570167613503,0.2980256441910283,0.399255397144651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006184059613798102,-0.00973754552897568,-0.003021621932535758
