dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size,eligible_queries,highest_relevance_pairs,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,queries_positive_net,queries_negative_net,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass,within_query_balanced_exchange_mass,bootstrap_seed,bootstrap_draws,ci_type,any_membership_change_fraction_ci_low,any_membership_change_fraction_ci_high,exact_zero_net_with_changes_fraction_ci_low,exact_zero_net_with_changes_fraction_ci_high,cancellation_conditional_ci_low,cancellation_conditional_ci_high,conditional_bootstrap_valid_draws,aggregation,reference_recall,reference_recall_ci_low,reference_recall_ci_high,alternative_recall,alternative_recall_ci_low,alternative_recall_ci_high,gain_fraction,gain_fraction_ci_low,gain_fraction_ci_high,loss_fraction,loss_fraction_ci_low,loss_fraction_ci_high,net_delta,net_delta_ci_low,net_delta_ci_high,membership_change_fraction,membership_change_fraction_ci_low,membership_change_fraction_ci_high,retained_total,newly_included_total,newly_omitted_total,absent_in_both_total
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,183,71,0.2305194805194805,0.3879781420765027,308,183,54,58,0.007722554639780859,0.00804421008330239,0.015445109279561718,0.02648685814147561,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.538961038961039,0.6493506493506493,0.18506493506493507,0.2792207792207792,0.31666666666666665,0.45857003574910615,10000,pair_micro,0.12240011268134654,0.10310943079444938,0.14658100712067268,0.12155500258228086,0.10263913122653354,0.1454164844606259,0.01845157049626743,0.015892691565686318,0.02148197438240948,0.019296680595333113,0.016613979748476074,0.022540597811517557,-0.0008451100990656839,-0.0023875623352841895,0.000524325677926764,0.03774825109160054,0.032715477648534386,0.04376202405594894,2196,393,411,18299
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,159,23,0.07467532467532467,0.14465408805031446,308,159,70,66,0.019794085452530613,0.01913447763161774,0.03826895526323548,0.024397333506903488,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.461038961038961,0.5714285714285714,0.045454545454545456,0.1038961038961039,0.09146341463414634,0.20224881470416312,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.03199275220598236,0.02199520290948546,0.044853410497694424,0.031333144385069484,0.021897276748978362,0.04298915077465282,0.000659607820912873,-0.014735366589210883,0.01646094825266404,0.06332589659105184,0.048772237833070345,0.07982835025011333,7641,640,671,12347
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,159,23,0.07467532467532467,0.14465408805031446,308,159,70,66,0.019794085452530613,0.01913447763161774,0.03826895526323548,0.024397333506903488,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.461038961038961,0.5714285714285714,0.045454545454545456,0.1038961038961039,0.09146341463414634,0.20224881470416312,10000,pair_micro,0.3902530635241091,0.3365037705370085,0.452850268948268,0.3887975961312738,0.33558925506042886,0.45059232639115715,0.030048359077890982,0.026848944868344115,0.03344676172953928,0.031503826470726325,0.027679750818372113,0.035938565585606395,-0.0014554673928353443,-0.004796421560137362,0.0014937020036993268,0.06155218554861731,0.05506676357502326,0.06869859177903435,7641,640,671,12347
wands,bge_base,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,379,25470,228,92,0.24274406332453827,0.40350877192982454,379,228,72,64,0.01267447494519841,0.010144204439248596,0.020288408878497192,0.026897573319605458,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5514511873350924,0.6517150395778364,0.20052770448548812,0.2850263852242735,0.3409090909090909,0.4669811320754717,10000,query_macro,0.36211107237284224,0.32753645145811294,0.3981093036314815,0.3646413428787921,0.33016584265224913,0.40063520192431284,0.02612326160500114,0.02030811972357965,0.03354292222251638,0.02359299109905132,0.018701728388985914,0.029464028132133866,0.0025302705059498153,-0.0052405177388961865,0.010931927851557086,0.049716252704052465,0.04129395682844979,0.059656529095182265,2735,485,468,21782
wands,bge_base,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,379,25470,228,92,0.24274406332453827,0.40350877192982454,379,228,72,64,0.01267447494519841,0.010144204439248596,0.020288408878497192,0.026897573319605458,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5514511873350924,0.6517150395778364,0.20052770448548812,0.2850263852242735,0.3409090909090909,0.4669811320754717,10000,pair_micro,0.12575579112681587,0.10837066445925672,0.14670108596288697,0.12642324303101687,0.1092972503140848,0.14724109401098012,0.019042010208087948,0.01687821232149259,0.02170841174579465,0.018374558303886925,0.01609778538785442,0.021100498336565476,0.0006674519042010208,-0.000721881496086241,0.0020910420832725538,0.03741656851197487,0.03315696343143732,0.04256633096136595,2735,485,468,21782
wands,bge_base,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,379,25470,203,37,0.09762532981530343,0.18226600985221675,379,203,82,84,0.014274063638061631,0.011080151190385195,0.02216030238077039,0.025446923023568106,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.48548812664907653,0.58311345646438,0.06860158311345646,0.12928759894459102,0.13,0.23557692307692307,10000,query_macro,0.6374575868109743,0.6033994966485271,0.6702268048307146,0.6406514992586508,0.6066543273719995,0.6730034922303864,0.026997525149845686,0.020595222297724005,0.03477584330250235,0.023803612702169248,0.019623894561492123,0.02857214608622224,0.0031939124476764377,-0.004266567555932114,0.011641516671929916,0.050801137852014934,0.04255335393054839,0.06012522822210688,9424,786,849,14411
wands,bge_base,native,historical_full,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,379,25470,203,37,0.09762532981530343,0.18226600985221675,379,203,82,84,0.014274063638061631,0.011080151190385195,0.02216030238077039,0.025446923023568106,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.48548812664907653,0.58311345646438,0.06860158311345646,0.12928759894459102,0.13,0.23557692307692307,10000,pair_micro,0.40333725952100513,0.3553200600376055,0.4584333266867023,0.40086376128778956,0.35273411080955097,0.4561051737975489,0.030859835100117784,0.027663786673377218,0.03426958010113131,0.03333333333333333,0.029384866207180303,0.03775315443326193,-0.0024734982332155478,-0.005877229903161778,0.000751470809214352,0.06419316843345112,0.057796231148894324,0.07126488880244299,9424,786,849,14411
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,184,72,0.23376623376623376,0.391304347826087,308,184,61,51,0.012160345310337902,0.010450788867255955,0.02090157773451191,0.024251064902442686,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5422077922077922,0.6525974025974026,0.18506493506493507,0.2824675324675325,0.32064148754274546,0.46231290862916735,10000,query_macro,0.3610458935456568,0.3223411098879199,0.4008052032843102,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.024285877761559247,0.018054301935974824,0.03305383260679519,0.0225763213184773,0.017097300580925345,0.029355271646237514,0.0017095564430819486,-0.0072385912411107685,0.011648795797262438,0.04686219908003655,0.037788830751699774,0.05758341775940978,2234,390,373,18302
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,184,72,0.23376623376623376,0.391304347826087,308,184,61,51,0.012160345310337902,0.010450788867255955,0.02090157773451191,0.024251064902442686,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5422077922077922,0.6525974025974026,0.18506493506493507,0.2824675324675325,0.32064148754274546,0.46231290862916735,10000,pair_micro,0.12240011268134654,0.10310943079444938,0.14658100712067268,0.12319827221935302,0.10395023815962956,0.1472637114266959,0.018310718813089818,0.01597615860148719,0.021115058049183236,0.01751255927508334,0.01512738868259602,0.02040700915023187,0.0007981595380064792,-0.0007120840781146258,0.002267961450170812,0.035823278088173156,0.03132268174436188,0.04127322596867534,2234,390,373,18302
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,159,29,0.09415584415584416,0.18238993710691823,308,159,69,61,0.013945375046425694,0.009563030459615941,0.019126060919231882,0.02464669285894257,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.4577922077922078,0.5714285714285714,0.06168831168831169,0.1266233766233766,0.12337662337662338,0.24405107973421922,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.6360915509016335,0.5979631936357152,0.6741674388796026,0.02626872147589698,0.019066911527898547,0.035842683837158405,0.02188637688908723,0.017272406699484377,0.027277879490443576,0.004382344586809754,-0.003948255472234189,0.014720155012014974,0.04815509836498421,0.038814016120261106,0.05933390599330689,7663,647,649,12340
