query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
164,modern outdoor furniture,style,195,128,0.8485585501205013,0.044444444444444446,0.046875,0.953125,0.8,0.7856180785421749,0.06111111111111111,0.0546875,0.9453125,0.55,0.8098221447950189,0.10555555555555556,0.09375,0.90625,0.38,0.22783560593132376
165,kitchen storage shelves,product_type,193,69,1.0,0.03664921465968586,0.10144927536231885,0.8985507246376812,0.7,0.9285856462023256,0.06282722513089005,0.15942028985507245,0.8405797101449275,0.6,0.8906602484179705,0.14136125654450263,0.3188405797101449,0.6811594202898551,0.54,0.5910895049446314
166,feather wall art,product_type,111,26,1.0,0.09174311926605505,0.38461538461538464,0.6153846153846154,1.0,0.942580009713201,0.1559633027522936,0.6538461538461539,0.34615384615384615,0.9,0.9499257724571719,0.24770642201834864,0.8846153846153846,0.11538461538461542,0.56,0.5853365265770596
167,camper,brand_entity_proxy,136,87,1.0,0.09195402298850575,0.09195402298850575,0.9080459770114943,0.8,1.0,0.1839080459770115,0.1839080459770115,0.8160919540229885,0.8,0.9861910928322911,0.47126436781609193,0.47126436781609193,0.5287356321839081,0.82,0.7902018396080571
168,printers,brand_entity_proxy,68,0,0.9052116356304495,0.1875,,,1.0,0.8992056175661525,0.375,,,1.0,0.9570933431548772,0.875,,,0.9,0.6380060329115871
169,coffee bar buffet,product_type,126,27,0.514609636006189,0.024,0.037037037037037035,0.962962962962963,0.3,0.4977274472528746,0.04,0.037037037037037035,0.962962962962963,0.25,0.6173266190207849,0.056,0.037037037037037035,0.962962962962963,0.14,0.060384313567842074
170,zen,brand_entity_proxy,127,99,0.8611375561264455,0.09,0.09090909090909091,0.9090909090909091,1.0,0.9103827127966565,0.18,0.18181818181818182,0.8181818181818181,0.95,0.9132778050287861,0.39,0.3939393939393939,0.6060606060606061,0.82,0.3531611701078707
171,nectar queen mattress,attribute_constraint,99,0,1.0,0.0707070707070707,,,0.7,1.0,0.12121212121212122,,,0.6,1.0,0.2828282828282828,,,0.56,
172,picasso,brand_entity_proxy,59,42,1.0,0.23809523809523808,0.23809523809523808,0.7619047619047619,1.0,1.0,0.47619047619047616,0.47619047619047616,0.5238095238095238,1.0,0.9990079231154572,0.8809523809523809,0.8809523809523809,0.11904761904761907,0.74,0.7625729044229351
173,bedroom accessories,brand_entity_proxy,316,4,0.3665711110436905,0.0,0.0,1.0,0.1,0.45592358284840157,0.014705882352941176,0.0,1.0,0.2,0.6105421609477536,0.06372549019607843,0.0,1.0,0.28,0.28995931240908007
174,star wars rug,product_type,90,0,0.7562251525126247,0.0,,,0.0,0.9016190497340902,0.14285714285714285,,,0.05,0.9016190497340902,0.14285714285714285,,,0.02,0.4351644046578968
175,basket planter,brand_entity_proxy,564,70,1.0,0.033003300330033,0.14285714285714285,0.8571428571428572,1.0,0.9777083390768576,0.066006600660066,0.2714285714285714,0.7285714285714286,1.0,0.8731458303259708,0.16501650165016502,0.5285714285714286,0.4714285714285714,1.0,0.6800356996656971
176,mexican art,brand_entity_proxy,397,23,1.0,0.022900763358778626,0.391304347826087,0.6086956521739131,0.9,0.8586659260432457,0.04834605597964377,0.6086956521739131,0.3913043478260869,0.95,0.9171062941405087,0.07888040712468193,0.6956521739130435,0.30434782608695654,0.62,0.3439379225260765
177,rustic storage cabinet,style,378,16,0.5764961724874297,0.013262599469496022,0.0625,0.9375,0.5,0.6214863918609455,0.029177718832891247,0.25,0.75,0.55,0.7721008140772913,0.05570291777188329,0.4375,0.5625,0.42,0.22941565038501055
178,almost heaven sauna,product_type,74,24,0.514609636006189,0.18867924528301888,0.125,0.875,1.0,0.4990288457549557,0.37735849056603776,0.20833333333333334,0.7916666666666666,1.0,0.8022199056932472,0.9245283018867925,0.875,0.125,0.98,0.5563875737551597
179,promo codes or discounts,product_type,1,0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,1.0,0.0,,,0.0,
180,outdoor lounge cushions,product_type,403,72,0.867129177606588,0.014925373134328358,0.08333333333333333,0.9166666666666666,0.6,0.8451909097434187,0.02736318407960199,0.1111111111111111,0.8888888888888888,0.55,0.7837041578042195,0.06965174129353234,0.25,0.75,0.56,0.4146666729463377
182,penny round tile,attribute_constraint,98,58,0.9510907186004265,0.10204081632653061,0.15517241379310345,0.8448275862068966,1.0,0.9684355467480761,0.20408163265306123,0.3275862068965517,0.6724137931034483,1.0,0.9524661095044533,0.5102040816326531,0.7931034482758621,0.2068965517241379,1.0,0.7456531795751545
183,farmhouse bread box,style,78,6,0.8075907563609165,0.13513513513513514,0.6666666666666666,0.33333333333333337,1.0,0.878632465446853,0.2702702702702703,0.8333333333333334,0.16666666666666663,1.0,0.9150759792100515,0.6081081081081081,0.8333333333333334,0.16666666666666663,0.9,0.4409738268615308
184,sugar canister,brand_entity_proxy,185,59,0.74591043058532,0.05434782608695652,0.11864406779661017,0.8813559322033898,1.0,0.7141436088299602,0.10869565217391304,0.2033898305084746,0.7966101694915254,1.0,0.67543933796684,0.2608695652173913,0.4067796610169492,0.5932203389830508,0.96,0.288930839039164
185,lunch bag,brand_entity_proxy,124,34,1.0,0.21739130434782608,0.29411764705882354,0.7058823529411764,1.0,0.9763266600610571,0.43478260869565216,0.5588235294117647,0.4411764705882353,1.0,0.9194181020534447,0.8043478260869565,0.9411764705882353,0.05882352941176472,0.98,0.7167643766785646
186,board game storage cabinet,product_type,385,4,0.4700182601018591,0.02356020942408377,0.0,1.0,0.9,0.6653244031810717,0.04450261780104712,0.5,0.5,0.85,0.7955730184454811,0.1099476439790576,0.75,0.25,0.84,0.17211752642975459
189,big basket for dirty cloths,multi_constraint,73,31,0.7542279640345069,0.125,0.16129032258064516,0.8387096774193549,0.9,0.6990739864604294,0.1388888888888889,0.1935483870967742,0.8064516129032258,0.5,0.8372923923386209,0.3055555555555556,0.3870967741935484,0.6129032258064516,0.44,0.24480408306804727
