dataset,method,candidate_K,query_id,n_highest,Recall@20,returned_condensed_NDCG@10,unique_candidates
esci,Original,50,66421,11,1.0,0.8574317626883479,50
esci,Original,50,66476,13,0.5384615384615384,0.7997932398308165,50
esci,Original,50,66494,10,0.5,0.6194344041540862,50
esci,Original,50,67075,10,1.0,0.781211896043708,50
esci,Original,50,67189,1,1.0,0.6223148011546904,50
esci,Original,50,67570,3,1.0,0.7377102117262573,50
esci,Original,50,67637,8,1.0,0.6290815153388843,50
esci,Original,50,67712,7,0.8571428571428571,0.7910969918993827,50
esci,Original,50,67844,1,1.0,0.6208175819953398,50
esci,Original,50,67894,15,0.6666666666666666,0.88995411685096,50
esci,Original,50,68340,19,0.8421052631578947,0.8721828485401358,50
esci,Original,50,68572,7,0.5714285714285714,0.6260444806162216,50
esci,Original,50,69025,2,1.0,0.9826586933116351,50
esci,Original,50,69269,5,1.0,0.7267964027247595,50
esci,Original,50,69657,13,1.0,0.7260934843822536,50
esci,Original,50,69695,9,1.0,0.9944529953062748,50
esci,Original,50,69739,13,0.3076923076923077,0.5399861510142969,50
esci,Original,50,70263,11,0.8181818181818182,0.6399790765216733,50
esci,Original,50,70625,3,1.0,0.9885790477845908,50
esci,Original,50,70787,5,1.0,0.9086482599264005,50
esci,Original,50,71186,8,0.75,0.5912045070012757,50
esci,Original,50,71356,7,0.42857142857142855,0.5830669131006212,50
esci,Original,50,71655,20,0.65,0.8064836836345346,50
esci,Original,50,71902,1,1.0,0.7849435652911605,50
esci,Original,50,72088,11,0.9090909090909091,0.9375119002569006,50
esci,Original,50,72127,3,1.0,0.43768548720921113,50
esci,Original,50,72915,15,1.0,0.9052116356304495,50
esci,Original,50,73215,3,1.0,0.5793291870351431,50
esci,Original,50,73282,7,0.5714285714285714,0.44793830001798013,50
esci,Original,50,73400,13,0.38461538461538464,0.16602752988942407,50
esci,Original,50,73401,13,0.9230769230769231,0.875023800513801,50
esci,Original,50,73522,7,1.0,0.9269881818936506,50
esci,Original,50,73746,3,1.0,0.9570724279807507,50
esci,Original,50,73944,9,1.0,0.8495712835057144,50
esci,Original,50,74270,3,1.0,0.900051355836414,50
esci,Original,50,74336,4,0.75,0.8595518966801226,50
esci,Original,50,74620,7,0.8571428571428571,0.8335584785522917,50
esci,Original,50,74628,24,0.625,0.8044653584329933,50
esci,Original,50,74654,16,0.6875,0.8714843703674766,50
esci,Original,50,74782,6,0.0,0.0,50
esci,Original,50,75417,6,1.0,0.33965156474959485,50
esci,Original,50,75512,28,0.5714285714285714,0.8522023723243048,50
esci,Original,50,75831,6,0.3333333333333333,0.27269279217696235,50
esci,Original,50,75925,5,1.0,0.7273942335222386,50
esci,Original,50,76144,12,0.9166666666666666,0.7404561537451104,50
esci,Original,50,76820,7,0.2857142857142857,0.44830398990253034,50
esci,Original,50,76904,7,0.0,0.04374159659972138,50
esci,Original,50,76950,22,0.5454545454545454,0.8486629421779802,50
esci,Original,50,76969,6,1.0,0.8627449800916701,50
esci,Original,50,77343,12,0.6666666666666666,0.6987616667452616,50
esci,Original,50,78347,2,1.0,0.41663787936986146,50
esci,Original,50,79143,7,0.2857142857142857,0.3416865786408366,50
esci,Original,50,79505,14,1.0,0.9009587051658641,50
esci,Original,50,80305,8,1.0,0.9168647917599629,50
esci,Original,50,80453,4,1.0,0.9624282728794606,50
esci,Original,50,80880,12,1.0,0.7028761154975918,50
esci,Original,50,81029,1,0.0,0.18913833857846243,50
esci,Original,50,81301,10,0.6,0.3929383594940073,50
esci,Original,50,81478,5,0.8,0.858839172297934,50
esci,Original,50,81547,1,0.0,0.18913833857846243,50
esci,Original,50,82738,1,1.0,0.9248471725337472,50
esci,Original,50,82799,14,0.8571428571428571,0.9233711941225413,50
esci,Original,50,82836,7,1.0,0.8649690420936432,50
esci,Original,50,82977,35,0.45714285714285713,0.7394293105886284,50
esci,Original,50,83182,8,1.0,0.8326400889683171,50
esci,Original,50,83573,5,1.0,0.9001455416332512,50
esci,Original,50,83860,1,1.0,0.4223253858114815,50
esci,Original,50,84011,14,0.7142857142857143,1.0,50
esci,Original,50,84333,7,0.14285714285714285,0.2682003716219828,50
esci,Original,50,84543,13,1.0,0.8721828485401358,50
esci,Original,50,84692,6,1.0,0.9552727145369452,50
esci,Original,50,84752,11,1.0,0.7679121633419566,50
esci,Original,50,84990,2,1.0,0.9075384126599194,50
esci,Original,50,85202,3,0.6666666666666666,0.4494757335572993,50
esci,Original,50,85743,9,1.0,0.5381555671507935,50
esci,Original,50,85956,9,1.0,0.9556796908433288,50
esci,Original,50,87048,12,0.8333333333333334,0.685119869332369,50
esci,Original,50,87098,6,1.0,0.949731083972257,50
esci,Original,50,87123,10,0.8,0.7422886092227777,50
esci,Original,50,87931,2,1.0,0.6263398216238475,50
esci,Original,50,88180,2,1.0,0.8386086787034659,50
esci,Original,50,88972,1,0.0,0.1885518738254318,50
esci,Original,50,89016,1,1.0,0.3688405780436753,50
esci,Original,50,89094,5,1.0,0.9824085261961296,50
esci,Original,50,89443,7,0.42857142857142855,0.5715161518082051,50
esci,Original,50,90070,4,0.75,0.7642261139677583,50
esci,Original,50,90523,15,0.2,0.3657058680219535,50
esci,Original,50,90653,6,1.0,0.8208812375034628,50
esci,Original,50,90835,5,1.0,0.9589923346062769,50
esci,Original,50,90983,13,0.38461538461538464,0.57960689068005,50
esci,Original,50,91113,5,1.0,0.8634605681485588,50
esci,Original,50,91245,3,1.0,0.44590897402905244,50
esci,Original,50,91267,8,0.875,0.7373533023683819,50
esci,Original,50,91452,2,0.5,0.6216056821016349,50
esci,Original,50,91498,2,1.0,0.491720290240116,50
esci,Original,50,91539,8,1.0,0.8377744530518696,50
esci,Original,50,91847,14,1.0,0.9148568823583791,50
esci,Original,50,92217,33,0.21212121212121213,0.6520910822420557,50
esci,Original,50,92320,10,1.0,0.8661124847434848,50
esci,Original,50,92627,16,0.3125,0.20450830585102717,50
