query_id,cNDCG@10,cNDCG@20,Recall@20,HighestRecall@20,RelevantHidden@20,VI@20_query,has_highest
29952,0.524013180116411,0.6332103443298757,0.5625,0.75,0.25,0.25,True
30020,0.45221867685035216,0.458811667872918,0.07692307692307693,0.0,1.0,1.0,True
30318,0.843078030656429,0.9584379556765276,1.0,1.0,0.0,0.0,True
31573,0.8544409527868279,0.8557981755361902,0.75,1.0,0.0,0.0,True
31659,0.8912901199753849,0.9671504381499755,1.0,1.0,0.0,0.0,True
31724,0.8754959575075147,0.8766467228800509,0.7142857142857143,1.0,0.0,0.0,True
31889,0.5317847194141466,0.6664462981212492,0.9333333333333333,0.5,0.5,0.0,True
32142,0.8469714038173858,0.9667472891910004,0.6875,0.9,0.09999999999999998,0.0,True
32164,0.8677182466561869,0.8225550335234718,0.1111111111111111,0.15384615384615385,0.8461538461538461,0.07692307692307693,True
32311,0.88995411685096,0.9507827159018454,0.18181818181818182,0.18181818181818182,0.8181818181818181,0.0,True
32350,0.8545150374160662,0.977328602579515,0.6,0.6666666666666666,0.33333333333333337,0.1111111111111111,True
32351,0.8690622973247186,0.8693402671762757,0.6666666666666666,1.0,0.0,0.25,True
32430,0.7055885545217484,0.7277698675456258,0.4864864864864865,0.6842105263157895,0.3157894736842105,0.05263157894736842,True
32612,0.5584510073850384,0.5916439104058602,0.5625,1.0,0.0,0.5,True
32812,0.9701089393834625,0.97903919763804,0.9375,1.0,0.0,0.0,True
32917,0.4138283598359243,0.6319019171742645,0.4375,0.42857142857142855,0.5714285714285714,0.2857142857142857,True
33004,0.8714237384631928,0.9820216068861453,0.75,0.8,0.19999999999999996,0.1,True
33735,0.9146904720674044,0.806198065222379,0.6129032258064516,0.7,0.30000000000000004,0.15,True
34128,0.8910545756824505,0.8573622075252157,0.5277777777777778,0.6153846153846154,0.3846153846153846,0.19230769230769232,True
34229,0.8869468818804492,0.9602090310866223,0.8,1.0,0.0,0.0,True
34443,0.6971529627262792,0.7674734368143782,0.9333333333333333,1.0,0.0,0.14285714285714285,True
34775,0.3370861599850585,0.45587730988893665,0.625,0.6666666666666666,0.33333333333333337,0.3333333333333333,True
34817,0.5380241014717905,0.7646213930655712,1.0,1.0,0.0,0.0,True
35117,0.9862034914377636,0.9862577210247765,1.0,1.0,0.0,0.0,True
35242,0.2261583839369871,0.38358768657353726,0.5333333333333333,0.5,0.5,0.0,True
35755,0.9157083135347952,0.9759916138973349,1.0,1.0,0.0,0.0,True
