query_id,cNDCG@10,cNDCG@20,Recall@20,HighestRecall@20,RelevantHidden@20,VI@20_query,has_highest
34775,0.5406151964038277,0.6555015887977089,0.8125,0.6666666666666666,0.33333333333333337,0.0,True
34817,0.8280699953654882,0.9443726376259045,1.0,1.0,0.0,0.0,True
35117,0.8887043065931854,0.9586145337337383,0.8125,1.0,0.0,0.0,True
35242,0.21335650061462758,0.36893116273865284,0.26666666666666666,0.0,1.0,0.0,True
35755,0.9157083135347952,0.9759916138973349,1.0,1.0,0.0,0.0,True
36669,0.7977228895450266,0.7977228895450266,0.5,0.5,0.5,0.0,True
36678,0.3856704434857621,0.5366846702547089,0.0,0.0,1.0,0.0,True
36753,0.8643145546088339,0.975095872292387,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.0,True
36912,0.3055695710055502,0.31896749062048063,0.5,1.0,0.0,0.0,True
36960,0.8763588163199183,0.8763588163199183,1.0,1.0,0.0,0.0,True
37451,0.04388065628739695,0.2991821916262656,0.4375,0.0,1.0,0.0,True
37466,0.527070901843709,0.5581329424374654,0.5135135135135135,0.4583333333333333,0.5416666666666667,0.0,True
37498,0.8788346261700335,0.8805771588032718,0.8181818181818182,1.0,0.0,0.0,True
37670,0.610654384350157,0.8087017881367663,0.375,0.23076923076923078,0.7692307692307692,0.07692307692307693,True
37789,0.0,0.27894294565112987,1.0,1.0,0.0,0.0,True
38679,0.5670226419854811,0.5843420869520238,0.625,1.0,0.0,0.0,True
39022,0.6308237113234916,0.6417052738901464,0.16666666666666666,0.3333333333333333,0.6666666666666667,0.0,True
39107,0.8630152897016883,0.9795936309202179,0.7857142857142857,0.9166666666666666,0.08333333333333337,0.08333333333333333,True
39157,0.017468748033454495,0.34036708548951566,0.36363636363636365,0.0,1.0,0.0,True
39263,0.32555261828105275,0.49149929659503067,0.625,0.5,0.5,0.0,True
40165,0.3317012581794504,0.33852271523563887,1.0,1.0,0.0,0.0,True
40292,0.6596512957504973,0.7405941523364533,0.5,0.7142857142857143,0.2857142857142857,0.0,True
40356,0.3625871041915979,0.3720624805747924,0.875,1.0,0.0,0.0,True
40483,0.8636514975836779,0.8021238788659955,0.5,0.5172413793103449,0.48275862068965514,0.1724137931034483,True
40528,0.996201363682969,0.9987531243412534,1.0,1.0,0.0,0.0,True
40573,0.9363792118010483,0.7508105181333574,0.35555555555555557,0.5652173913043478,0.4347826086956522,0.0,True
40615,0.4556588443449323,0.46375067518897795,0.9375,1.0,0.0,0.0,True
40834,0.10978941357319322,0.15984233544911347,0.27941176470588236,0.0,1.0,0.0,True
41423,0.5697889165740998,0.6882928415553652,0.2222222222222222,0.20833333333333334,0.7916666666666666,0.08333333333333333,True
41492,0.8567940324912663,0.7244572462727679,0.4594594594594595,0.6153846153846154,0.3846153846153846,0.0,True
41502,0.818424292804084,0.9332470710573717,0.625,0.7272727272727273,0.2727272727272727,0.2727272727272727,True
41795,0.6407419587691248,0.8216158801725001,0.875,0.9090909090909091,0.09090909090909094,0.09090909090909091,True
42118,0.9335817617525629,0.9335817617525629,1.0,1.0,0.0,0.0,True
42332,0.7044948650760122,0.8430425163130846,0.9375,1.0,0.0,0.0,True
42405,1.0,1.0,0.5555555555555556,1.0,0.0,0.0,True
